feedback_id,customer_name,feedback,date,product,clean_feedback,sentiment,confidence_score,month
58,Arun,Worst product ever,2025-08-01,Mobile,worst product ever,negative,-1.0,2025-08
59,Arun,Excellent quality and very satisfied,2025-12-22,Banking App,excellent quality very satisfied,positive,0.825,2025-12
60,Anitha,Acceptable performance,2025-11-30,Mobile,acceptable performance,neutral,0.0,2025-11
61,Manoj,Delivery was too late,2025-01-06,Banking App,delivery too late,negative,-0.3,2025-01
62,Arun,Customer support did not respond,2025-03-27,E-commerce,customer support did respond,neutral,0.0,2025-03
63,Priya,Delivery was too late,2025-01-25,Headphones,delivery too late,negative,-0.3,2025-01
64,Sneha,Acceptable performance,2025-02-14,Mobile,acceptable performance,neutral,0.0,2025-02
65,Suresh,"Amazing experience, highly recommend",2025-07-22,Laptop,amazing experience highly recommend,positive,0.38,2025-07
66,Pooja,Customer support did not respond,2025-07-19,Mobile App,customer support did respond,neutral,0.0,2025-07
67,Sneha,Poor quality and waste of money,2025-06-30,Mobile App,poor quality waste money,negative,-0.3,2025-06
68,Divya,Great service and fast delivery,2025-02-12,Mobile App,great service fast delivery,positive,0.5,2025-02
69,Manoj,Very bad experience and disappointed,2025-11-13,Laptop,very bad experience disappointed,negative,-0.8299999999999998,2025-11
70,Priya,Delivery was too late,2025-03-18,Smart Watch,delivery too late,negative,-0.3,2025-03
71,Manoj,Nothing special,2025-10-18,Banking App,nothing special,positive,0.3571428571428571,2025-10
72,Anitha,Very happy with the product,2025-07-07,Laptop,very happy product,positive,1.0,2025-07
73,Sneha,Average experience,2025-04-08,Laptop,average experience,negative,-0.15,2025-04
74,Priya,"Amazing experience, highly recommend",2025-10-14,E-commerce,amazing experience highly recommend,positive,0.38,2025-10
75,Priya,"Amazing experience, highly recommend",2026-01-01,Banking App,amazing experience highly recommend,positive,0.38,2026-01
76,Arun,Acceptable performance,2025-08-12,Smart Watch,acceptable performance,neutral,0.0,2025-08
77,Rahul,Average experience,2025-12-30,Internet Service,average experience,negative,-0.15,2025-12
78,Arun,Great service and fast delivery,2025-01-07,Laptop,great service fast delivery,positive,0.5,2025-01
79,Manoj,Worst product ever,2025-10-26,Mobile,worst product ever,negative,-1.0,2025-10
80,Karthik,Great service and fast delivery,2025-04-23,Headphones,great service fast delivery,positive,0.5,2025-04
81,Anitha,Worst product ever,2025-01-02,E-commerce,worst product ever,negative,-1.0,2025-01
82,Divya,"Amazing experience, highly recommend",2025-07-10,Headphones,amazing experience highly recommend,positive,0.38,2025-07
83,Priya,Okay for the price,2025-03-03,Banking App,okay price,positive,0.5,2025-03
84,Suresh,Very happy with the product,2025-08-28,Headphones,very happy product,positive,1.0,2025-08
85,Karthik,Very happy with the product,2025-06-20,Mobile App,very happy product,positive,1.0,2025-06
86,Rahul,Poor quality and waste of money,2025-11-23,Internet Service,poor quality waste money,negative,-0.3,2025-11
87,Sneha,Nothing special,2025-02-02,Mobile,nothing special,positive,0.3571428571428571,2025-02
88,Sneha,Worst product ever,2025-06-10,Laptop,worst product ever,negative,-1.0,2025-06
89,Anitha,Nothing special,2025-05-03,Smart Watch,nothing special,positive,0.3571428571428571,2025-05
90,Manoj,Average experience,2025-06-10,Banking App,average experience,negative,-0.15,2025-06
91,Rahul,Average experience,2025-04-13,Headphones,average experience,negative,-0.15,2025-04
92,Suresh,Poor quality and waste of money,2025-08-30,Mobile App,poor quality waste money,negative,-0.3,2025-08
93,Anitha,Worst product ever,2025-09-30,Banking App,worst product ever,negative,-1.0,2025-09
94,Manoj,Delivery was too late,2025-08-07,Headphones,delivery too late,negative,-0.3,2025-08
95,Arun,Worst product ever,2025-08-01,E-commerce,worst product ever,negative,-1.0,2025-08
96,Arun,Okay for the price,2025-01-19,Internet Service,okay price,positive,0.5,2025-01
97,Anitha,Excellent quality and very satisfied,2025-03-11,Laptop,excellent quality very satisfied,positive,0.825,2025-03
98,Manoj,"Amazing experience, highly recommend",2025-01-16,E-commerce,amazing experience highly recommend,positive,0.38,2025-01
99,Priya,Great service and fast delivery,2025-01-31,Banking App,great service fast delivery,positive,0.5,2025-01
100,Pooja,Very bad experience and disappointed,2025-01-31,Smart Watch,very bad experience disappointed,negative,-0.8299999999999998,2025-01
101,Priya,Support team was very helpful,2025-06-18,Mobile,support team very helpful,positive,0.2,2025-06
102,Rahul,Poor quality and waste of money,2025-02-07,Banking App,poor quality waste money,negative,-0.3,2025-02
103,Pooja,Very bad experience and disappointed,2025-12-19,Mobile,very bad experience disappointed,negative,-0.8299999999999998,2025-12
104,Pooja,Customer support did not respond,2025-11-30,Mobile,customer support did respond,neutral,0.0,2025-11
105,Karthik,Nothing special,2025-11-12,Laptop,nothing special,positive,0.3571428571428571,2025-11
106,Anitha,Average experience,2025-11-01,Smart Watch,average experience,negative,-0.15,2025-11
107,Priya,Poor quality and waste of money,2025-08-13,E-commerce,poor quality waste money,negative,-0.3,2025-08
108,Divya,Acceptable performance,2025-12-28,Headphones,acceptable performance,neutral,0.0,2025-12
109,Manoj,Support team was very helpful,2025-04-09,Mobile App,support team very helpful,positive,0.2,2025-04
110,Rahul,Decent product,2025-12-31,Banking App,decent product,positive,0.1666666666666666,2025-12
111,Manoj,Acceptable performance,2025-10-25,Mobile App,acceptable performance,neutral,0.0,2025-10
112,Pooja,"Amazing experience, highly recommend",2025-05-15,Headphones,amazing experience highly recommend,positive,0.38,2025-05
113,Arun,Average experience,2025-01-07,Laptop,average experience,negative,-0.15,2025-01
114,Divya,"Amazing experience, highly recommend",2025-07-27,Internet Service,amazing experience highly recommend,positive,0.38,2025-07
115,Karthik,Very bad experience and disappointed,2025-03-21,Mobile,very bad experience disappointed,negative,-0.8299999999999998,2025-03
116,Sneha,"Amazing experience, highly recommend",2025-04-14,E-commerce,amazing experience highly recommend,positive,0.38,2025-04
117,Karthik,Worst product ever,2025-06-11,Mobile App,worst product ever,negative,-1.0,2025-06
118,Rahul,"Amazing experience, highly recommend",2025-07-04,Mobile,amazing experience highly recommend,positive,0.38,2025-07
119,Divya,Support team was very helpful,2025-05-20,E-commerce,support team very helpful,positive,0.2,2025-05
120,Rahul,"Amazing experience, highly recommend",2025-12-22,Mobile,amazing experience highly recommend,positive,0.38,2025-12
121,Karthik,Customer support did not respond,2025-08-21,Internet Service,customer support did respond,neutral,0.0,2025-08
122,Sneha,"Amazing experience, highly recommend",2025-04-14,Mobile App,amazing experience highly recommend,positive,0.38,2025-04
123,Pooja,"Amazing experience, highly recommend",2025-01-26,E-commerce,amazing experience highly recommend,positive,0.38,2025-01
124,Arun,Okay for the price,2025-08-23,Laptop,okay price,positive,0.5,2025-08
125,Divya,Support team was very helpful,2025-05-09,Smart Watch,support team very helpful,positive,0.2,2025-05
126,Rahul,Poor quality and waste of money,2025-09-02,E-commerce,poor quality waste money,negative,-0.3,2025-09
127,Suresh,Nothing special,2025-11-24,Banking App,nothing special,positive,0.3571428571428571,2025-11
128,Anitha,Customer support did not respond,2025-01-19,Smart Watch,customer support did respond,neutral,0.0,2025-01
129,Sneha,Very bad experience and disappointed,2025-04-19,Mobile App,very bad experience disappointed,negative,-0.8299999999999998,2025-04
130,Pooja,Customer support did not respond,2025-03-11,Internet Service,customer support did respond,neutral,0.0,2025-03
131,Karthik,Worst product ever,2025-03-16,E-commerce,worst product ever,negative,-1.0,2025-03
132,Anitha,Nothing special,2025-12-06,Headphones,nothing special,positive,0.3571428571428571,2025-12
133,Karthik,Excellent quality and very satisfied,2025-01-29,Headphones,excellent quality very satisfied,positive,0.825,2025-01
134,Divya,Nothing special,2025-01-31,Headphones,nothing special,positive,0.3571428571428571,2025-01
135,Suresh,Great service and fast delivery,2025-08-30,Mobile App,great service fast delivery,positive,0.5,2025-08
136,Suresh,Average experience,2025-05-06,Headphones,average experience,negative,-0.15,2025-05
137,Karthik,Delivery was too late,2025-06-14,E-commerce,delivery too late,negative,-0.3,2025-06
138,Anitha,"Amazing experience, highly recommend",2025-07-15,Banking App,amazing experience highly recommend,positive,0.38,2025-07
139,Arun,Okay for the price,2025-05-10,Mobile App,okay price,positive,0.5,2025-05
140,Sneha,Great service and fast delivery,2025-02-27,E-commerce,great service fast delivery,positive,0.5,2025-02
141,Suresh,Okay for the price,2025-03-28,Mobile App,okay price,positive,0.5,2025-03
142,Divya,Delivery was too late,2025-09-15,Laptop,delivery too late,negative,-0.3,2025-09
143,Priya,Nothing special,2025-11-22,Smart Watch,nothing special,positive,0.3571428571428571,2025-11
144,Pooja,Acceptable performance,2025-07-19,Mobile,acceptable performance,neutral,0.0,2025-07
145,Arun,"Amazing experience, highly recommend",2025-05-05,Mobile,amazing experience highly recommend,positive,0.38,2025-05
146,Rahul,Very bad experience and disappointed,2025-08-24,Headphones,very bad experience disappointed,negative,-0.8299999999999998,2025-08
147,Rahul,Poor quality and waste of money,2025-12-21,Mobile App,poor quality waste money,negative,-0.3,2025-12
148,Pooja,Average experience,2025-06-23,Laptop,average experience,negative,-0.15,2025-06
149,Rahul,Average experience,2025-05-01,Mobile,average experience,negative,-0.15,2025-05
150,Anitha,Delivery was too late,2025-07-27,E-commerce,delivery too late,negative,-0.3,2025-07
151,Priya,Okay for the price,2025-11-18,Internet Service,okay price,positive,0.5,2025-11
152,Pooja,Average experience,2025-11-14,Smart Watch,average experience,negative,-0.15,2025-11
153,Priya,Average experience,2025-04-04,Laptop,average experience,negative,-0.15,2025-04
154,Karthik,Very happy with the product,2025-03-17,Banking App,very happy product,positive,1.0,2025-03
155,Suresh,Acceptable performance,2025-06-30,Laptop,acceptable performance,neutral,0.0,2025-06
156,Divya,Poor quality and waste of money,2025-10-13,Banking App,poor quality waste money,negative,-0.3,2025-10
157,Suresh,Great service and fast delivery,2025-02-23,Mobile App,great service fast delivery,positive,0.5,2025-02
158,Priya,Acceptable performance,2025-03-27,Mobile,acceptable performance,neutral,0.0,2025-03
159,Manoj,Support team was very helpful,2025-05-07,E-commerce,support team very helpful,positive,0.2,2025-05
160,Manoj,Great service and fast delivery,2025-08-10,Headphones,great service fast delivery,positive,0.5,2025-08
161,Suresh,Nothing special,2025-01-06,E-commerce,nothing special,positive,0.3571428571428571,2025-01
162,Manoj,Delivery was too late,2025-02-19,Mobile,delivery too late,negative,-0.3,2025-02
163,Pooja,Decent product,2025-11-12,Smart Watch,decent product,positive,0.1666666666666666,2025-11
164,Sneha,Support team was very helpful,2025-10-27,Smart Watch,support team very helpful,positive,0.2,2025-10
165,Karthik,Customer support did not respond,2025-02-23,Internet Service,customer support did respond,neutral,0.0,2025-02
166,Karthik,Support team was very helpful,2025-09-17,Smart Watch,support team very helpful,positive,0.2,2025-09
167,Rahul,"Amazing experience, highly recommend",2025-03-14,Mobile App,amazing experience highly recommend,positive,0.38,2025-03
168,Arun,Worst product ever,2025-07-30,E-commerce,worst product ever,negative,-1.0,2025-07
169,Anitha,Decent product,2025-08-20,Internet Service,decent product,positive,0.1666666666666666,2025-08
170,Pooja,"Amazing experience, highly recommend",2025-02-01,E-commerce,amazing experience highly recommend,positive,0.38,2025-02
171,Pooja,Delivery was too late,2025-12-11,Headphones,delivery too late,negative,-0.3,2025-12
172,Sneha,Nothing special,2025-10-22,Headphones,nothing special,positive,0.3571428571428571,2025-10
173,Karthik,Very bad experience and disappointed,2025-03-10,E-commerce,very bad experience disappointed,negative,-0.8299999999999998,2025-03
174,Divya,Acceptable performance,2025-12-10,Smart Watch,acceptable performance,neutral,0.0,2025-12
175,Manoj,Excellent quality and very satisfied,2025-06-30,Headphones,excellent quality very satisfied,positive,0.825,2025-06
176,Divya,Support team was very helpful,2025-01-11,Laptop,support team very helpful,positive,0.2,2025-01
177,Manoj,Support team was very helpful,2025-05-18,Mobile,support team very helpful,positive,0.2,2025-05
178,Arun,Customer support did not respond,2025-08-10,Smart Watch,customer support did respond,neutral,0.0,2025-08
179,Anitha,Support team was very helpful,2025-02-15,Mobile App,support team very helpful,positive,0.2,2025-02
180,Sneha,Average experience,2025-08-18,Mobile App,average experience,negative,-0.15,2025-08
181,Priya,Average experience,2025-05-06,Headphones,average experience,negative,-0.15,2025-05
182,Anitha,Support team was very helpful,2025-03-07,Laptop,support team very helpful,positive,0.2,2025-03
183,Divya,Acceptable performance,2025-09-09,E-commerce,acceptable performance,neutral,0.0,2025-09
184,Suresh,Poor quality and waste of money,2025-11-11,Mobile App,poor quality waste money,negative,-0.3,2025-11
185,Anitha,Decent product,2025-11-13,Laptop,decent product,positive,0.1666666666666666,2025-11
186,Divya,Average experience,2025-03-03,Laptop,average experience,negative,-0.15,2025-03
187,Arun,Nothing special,2025-04-22,Headphones,nothing special,positive,0.3571428571428571,2025-04
188,Pooja,Average experience,2025-05-19,Smart Watch,average experience,negative,-0.15,2025-05
189,Manoj,Very bad experience and disappointed,2025-10-17,Mobile,very bad experience disappointed,negative,-0.8299999999999998,2025-10
190,Sneha,Very happy with the product,2025-01-05,Internet Service,very happy product,positive,1.0,2025-01
191,Rahul,Acceptable performance,2025-03-01,Mobile App,acceptable performance,neutral,0.0,2025-03
192,Priya,"Amazing experience, highly recommend",2025-10-26,Internet Service,amazing experience highly recommend,positive,0.38,2025-10
193,Divya,Very bad experience and disappointed,2025-07-07,E-commerce,very bad experience disappointed,negative,-0.8299999999999998,2025-07
194,Divya,Decent product,2025-08-24,Laptop,decent product,positive,0.1666666666666666,2025-08
195,Rahul,Great service and fast delivery,2025-01-09,Banking App,great service fast delivery,positive,0.5,2025-01
196,Sneha,Delivery was too late,2025-09-26,Mobile,delivery too late,negative,-0.3,2025-09
197,Anitha,Worst product ever,2025-03-28,Mobile,worst product ever,negative,-1.0,2025-03
198,Pooja,Very bad experience and disappointed,2025-04-03,E-commerce,very bad experience disappointed,negative,-0.8299999999999998,2025-04
199,Suresh,Very bad experience and disappointed,2025-05-16,Headphones,very bad experience disappointed,negative,-0.8299999999999998,2025-05
200,Divya,Decent product,2025-04-05,Smart Watch,decent product,positive,0.1666666666666666,2025-04
201,Arun,Great service and fast delivery,2025-11-11,Mobile App,great service fast delivery,positive,0.5,2025-11
202,Suresh,Decent product,2025-02-21,E-commerce,decent product,positive,0.1666666666666666,2025-02
203,Anitha,Acceptable performance,2025-07-11,Smart Watch,acceptable performance,neutral,0.0,2025-07
204,Divya,"Amazing experience, highly recommend",2025-05-31,Laptop,amazing experience highly recommend,positive,0.38,2025-05
205,Anitha,Very happy with the product,2025-07-27,Mobile,very happy product,positive,1.0,2025-07
206,Sneha,Delivery was too late,2025-04-16,Mobile,delivery too late,negative,-0.3,2025-04
207,Manoj,Very happy with the product,2025-12-15,Internet Service,very happy product,positive,1.0,2025-12
208,Suresh,Acceptable performance,2025-11-30,Headphones,acceptable performance,neutral,0.0,2025-11
209,Pooja,Acceptable performance,2025-08-07,Banking App,acceptable performance,neutral,0.0,2025-08
210,Divya,Acceptable performance,2025-05-04,Mobile App,acceptable performance,neutral,0.0,2025-05
211,Pooja,Nothing special,2025-01-19,Smart Watch,nothing special,positive,0.3571428571428571,2025-01
212,Priya,"Amazing experience, highly recommend",2025-03-27,Banking App,amazing experience highly recommend,positive,0.38,2025-03
213,Pooja,Acceptable performance,2025-10-20,Mobile App,acceptable performance,neutral,0.0,2025-10
214,Divya,Great service and fast delivery,2025-09-30,Headphones,great service fast delivery,positive,0.5,2025-09
215,Karthik,Excellent quality and very satisfied,2025-06-21,Smart Watch,excellent quality very satisfied,positive,0.825,2025-06
216,Karthik,Nothing special,2025-07-06,Mobile App,nothing special,positive,0.3571428571428571,2025-07
217,Divya,Excellent quality and very satisfied,2025-07-10,Laptop,excellent quality very satisfied,positive,0.825,2025-07
218,Sneha,Okay for the price,2025-02-03,Laptop,okay price,positive,0.5,2025-02
219,Priya,Very bad experience and disappointed,2025-06-14,Internet Service,very bad experience disappointed,negative,-0.8299999999999998,2025-06
220,Arun,Excellent quality and very satisfied,2025-08-22,Headphones,excellent quality very satisfied,positive,0.825,2025-08
221,Rahul,Acceptable performance,2025-09-22,Internet Service,acceptable performance,neutral,0.0,2025-09
222,Anitha,Support team was very helpful,2025-12-07,Smart Watch,support team very helpful,positive,0.2,2025-12
223,Karthik,Very happy with the product,2025-08-12,Laptop,very happy product,positive,1.0,2025-08
224,Pooja,"Amazing experience, highly recommend",2025-02-03,Headphones,amazing experience highly recommend,positive,0.38,2025-02
225,Sneha,Decent product,2026-01-01,Laptop,decent product,positive,0.1666666666666666,2026-01
226,Manoj,Decent product,2025-02-04,Mobile,decent product,positive,0.1666666666666666,2025-02
227,Rahul,Okay for the price,2025-11-30,Mobile App,okay price,positive,0.5,2025-11
228,Arun,Decent product,2025-02-04,Headphones,decent product,positive,0.1666666666666666,2025-02
229,Divya,Okay for the price,2025-09-30,Headphones,okay price,positive,0.5,2025-09
230,Arun,Okay for the price,2025-07-07,Mobile App,okay price,positive,0.5,2025-07
231,Pooja,Excellent quality and very satisfied,2025-11-14,Headphones,excellent quality very satisfied,positive,0.825,2025-11
232,Sneha,Poor quality and waste of money,2025-01-06,Laptop,poor quality waste money,negative,-0.3,2025-01
233,Sneha,Great service and fast delivery,2025-03-07,Mobile,great service fast delivery,positive,0.5,2025-03
234,Divya,Decent product,2025-11-01,E-commerce,decent product,positive,0.1666666666666666,2025-11
235,Pooja,Worst product ever,2025-08-16,Mobile App,worst product ever,negative,-1.0,2025-08
236,Divya,Support team was very helpful,2025-07-20,Headphones,support team very helpful,positive,0.2,2025-07
237,Pooja,"Amazing experience, highly recommend",2025-06-24,Headphones,amazing experience highly recommend,positive,0.38,2025-06
238,Divya,Delivery was too late,2025-05-26,Internet Service,delivery too late,negative,-0.3,2025-05
239,Suresh,Worst product ever,2025-07-31,Headphones,worst product ever,negative,-1.0,2025-07
240,Divya,Decent product,2025-12-06,Smart Watch,decent product,positive,0.1666666666666666,2025-12
241,Rahul,Delivery was too late,2025-01-15,E-commerce,delivery too late,negative,-0.3,2025-01
242,Divya,Nothing special,2025-01-11,Mobile App,nothing special,positive,0.3571428571428571,2025-01
243,Karthik,Customer support did not respond,2025-08-01,Banking App,customer support did respond,neutral,0.0,2025-08
244,Priya,"Amazing experience, highly recommend",2025-11-07,E-commerce,amazing experience highly recommend,positive,0.38,2025-11
245,Sneha,Customer support did not respond,2025-06-01,Mobile,customer support did respond,neutral,0.0,2025-06
246,Manoj,Delivery was too late,2025-04-04,E-commerce,delivery too late,negative,-0.3,2025-04
247,Suresh,Nothing special,2025-01-12,Banking App,nothing special,positive,0.3571428571428571,2025-01
248,Sneha,Okay for the price,2025-11-08,E-commerce,okay price,positive,0.5,2025-11
249,Arun,Very bad experience and disappointed,2025-12-10,Internet Service,very bad experience disappointed,negative,-0.8299999999999998,2025-12
250,Suresh,Excellent quality and very satisfied,2025-08-13,Laptop,excellent quality very satisfied,positive,0.825,2025-08
251,Pooja,"Amazing experience, highly recommend",2025-09-05,Internet Service,amazing experience highly recommend,positive,0.38,2025-09
252,Arun,Poor quality and waste of money,2025-08-07,Headphones,poor quality waste money,negative,-0.3,2025-08
253,Manoj,Delivery was too late,2025-02-21,Internet Service,delivery too late,negative,-0.3,2025-02
254,Priya,Very bad experience and disappointed,2025-04-04,Laptop,very bad experience disappointed,negative,-0.8299999999999998,2025-04
255,Pooja,Very happy with the product,2025-02-14,E-commerce,very happy product,positive,1.0,2025-02
256,Manoj,Excellent quality and very satisfied,2025-01-01,Mobile App,excellent quality very satisfied,positive,0.825,2025-01
257,Priya,Very bad experience and disappointed,2025-04-03,Internet Service,very bad experience disappointed,negative,-0.8299999999999998,2025-04
258,Karthik,Nothing special,2025-03-22,Mobile,nothing special,positive,0.3571428571428571,2025-03
259,Arun,Okay for the price,2025-11-16,Headphones,okay price,positive,0.5,2025-11
260,Priya,Poor quality and waste of money,2025-06-19,Mobile,poor quality waste money,negative,-0.3,2025-06
261,Priya,Average experience,2025-10-31,Internet Service,average experience,negative,-0.15,2025-10
262,Arun,"Amazing experience, highly recommend",2025-08-13,Headphones,amazing experience highly recommend,positive,0.38,2025-08
263,Divya,"Amazing experience, highly recommend",2025-01-29,Smart Watch,amazing experience highly recommend,positive,0.38,2025-01
264,Suresh,"Amazing experience, highly recommend",2025-05-03,Banking App,amazing experience highly recommend,positive,0.38,2025-05
265,Priya,Poor quality and waste of money,2025-12-23,Mobile App,poor quality waste money,negative,-0.3,2025-12
266,Pooja,Worst product ever,2025-08-23,Smart Watch,worst product ever,negative,-1.0,2025-08
267,Priya,Okay for the price,2025-04-19,Mobile,okay price,positive,0.5,2025-04
268,Priya,Very happy with the product,2025-10-29,Headphones,very happy product,positive,1.0,2025-10
269,Divya,Okay for the price,2025-09-19,Internet Service,okay price,positive,0.5,2025-09
270,Sneha,Acceptable performance,2025-06-02,E-commerce,acceptable performance,neutral,0.0,2025-06
271,Divya,Very bad experience and disappointed,2025-12-05,Banking App,very bad experience disappointed,negative,-0.8299999999999998,2025-12
272,Divya,Very happy with the product,2025-05-16,E-commerce,very happy product,positive,1.0,2025-05
273,Arun,Acceptable performance,2025-04-02,Smart Watch,acceptable performance,neutral,0.0,2025-04
274,Rahul,Acceptable performance,2025-10-23,E-commerce,acceptable performance,neutral,0.0,2025-10
275,Anitha,Very happy with the product,2025-03-21,Mobile App,very happy product,positive,1.0,2025-03
276,Rahul,Nothing special,2025-10-17,Mobile,nothing special,positive,0.3571428571428571,2025-10
277,Sneha,Worst product ever,2025-11-12,Headphones,worst product ever,negative,-1.0,2025-11
278,Rahul,Worst product ever,2025-10-10,E-commerce,worst product ever,negative,-1.0,2025-10
279,Suresh,Worst product ever,2025-09-04,Mobile App,worst product ever,negative,-1.0,2025-09
280,Pooja,Great service and fast delivery,2025-05-15,Banking App,great service fast delivery,positive,0.5,2025-05
281,Sneha,"Amazing experience, highly recommend",2025-04-01,Headphones,amazing experience highly recommend,positive,0.38,2025-04
282,Anitha,Poor quality and waste of money,2025-01-24,Headphones,poor quality waste money,negative,-0.3,2025-01
283,Pooja,Okay for the price,2025-07-12,Mobile App,okay price,positive,0.5,2025-07
284,Anitha,Customer support did not respond,2025-04-01,Internet Service,customer support did respond,neutral,0.0,2025-04
285,Priya,Okay for the price,2025-07-27,Laptop,okay price,positive,0.5,2025-07
286,Rahul,Worst product ever,2025-08-19,Mobile App,worst product ever,negative,-1.0,2025-08
